,"(('gas', 'gas_boiler'), 'flow')","(('gas_boiler', 'heat_generation'), 'flow')","(('chp', 'electricity'), 'flow')","(('chp', 'heat_generation'), 'flow')","(('gas', 'chp'), 'flow')","(('electricity', 'heatpump_air'), 'flow')","(('heatpump_air', 'heat_generation'), 'flow')","(('heatpump_air', 'heat_generation'), 'status')","(('electricity', 'electrolysis'), 'flow')","(('electrolysis', 'h2'), 'flow')","(('electrolysis', 'heat_generation'), 'flow')","(('heat_generation', 'thermal_storage'), 'flow')","(('thermal_storage', 'None'), 'storage_content')","(('thermal_storage', 'storage_out'), 'flow')"
2018-01-04 11:00:00,0.0,0.0,0.0,-0.0,0.0,854.5846948718591,1701.2548772797065,1.0,0.0,-0.0,-0.0,1701.2548772797065,20794.628578077383,1851.302522
2018-01-04 12:00:00,0.0,0.0,0.0,-0.0,0.0,854.7503496969192,1703.235074184685,1.0,0.0,-0.0,-0.0,1703.235074184685,20734.61621145987,1756.3220625000001
2018-01-04 13:00:00,0.0,0.0,0.0,-0.0,0.0,854.6509954801605,1702.046956303566,1.0,0.0,-0.0,-0.0,1702.046956303566,20724.817963461148,1704.9265515
2018-01-04 14:00:00,0.0,0.0,0.0,-0.0,0.0,854.5846948718591,1701.2548772797065,1.0,0.0,-0.0,-0.0,1701.2548772797065,20713.723909264158,1705.43137675
2018-01-04 15:00:00,0.0,0.0,0.0,-0.0,0.0,854.3551858243154,1698.5067920723488,1.0,0.0,-0.0,-0.0,1698.5067920723488,20719.469180404558,1685.8452095
2018-01-04 16:00:00,0.0,0.0,0.0,-0.0,0.0,853.6924882058488,1690.6263210122283,1.0,0.0,-0.0,-0.0,1690.6263210122283,20661.05606087054,1742.12248525
2018-01-04 17:00:00,0.0,0.0,0.0,-0.0,0.0,853.7914819559707,1691.8023628453807,1.0,0.0,-0.0,-0.0,1691.8023628453807,20538.213873194243,1807.7341415
2018-01-04 18:00:00,0.0,0.0,0.0,-0.0,0.0,853.7589841475844,1691.414334533655,1.0,0.0,-0.0,-0.0,1691.414334533655,20283.41282645409,1939.318739
2018-01-04 19:00:00,0.0,0.0,0.0,-0.0,0.0,853.4292457314713,1687.5008360651245,1.0,0.0,-0.0,-0.0,1687.5008360651245,20037.78178218344,1926.26379325
2018-01-04 20:00:00,0.0,0.0,0.0,-0.0,0.0,853.3308079286153,1686.3327471665216,1.0,0.0,-0.0,-0.0,1686.3327471665216,19901.607913283195,1815.6660565
2018-01-04 21:00:00,0.0,0.0,0.0,-0.0,0.0,852.7756722060926,1679.752845392003,1.0,0.0,-0.0,-0.0,1679.752845392003,19779.520521418708,1795.0149385
2018-01-04 22:00:00,0.0,0.0,0.0,-0.0,0.0,851.9255890529288,1669.737793081711,1.0,0.0,-0.0,-0.0,1669.737793081711,19708.008366902915,1734.438331
