Time;T_amp
6109200;6.9
6112800;5.9
6116400;6.5
6120000;6.7
6123600;6.7
6127200;6.1
6130800;5.8
6134400;6.5
6138000;7.1
6141600;7.1
6145200;6.7
6148800;6.4
6152400;5.2
6156000;4.6
6159600;5
6163200;3.9
6166800;5.1
6170400;4.7
6174000;4.9
6177600;4.5
6181200;5
6184800;5
6188400;6.3
6192000;6
6195600;5.9
6199200;5.8
6202800;6
6206400;5.9
6210000;6.6
6213600;6.6
6217200;6.5
6220800;6.2
6224400;5.9
6228000;5.6
6231600;5.7
6235200;5.6
6238800;5.3
6242400;5.9
6246000;6
6249600;6.4
6253200;6.8
6256800;7.3
6260400;7.6
6264000;7.7
6267600;7.5
6271200;7.5
6274800;7.3
6278400;6.8
6282000;6.3
6285600;6.1
6289200;6
6292800;5.8
6296400;5.6
6300000;4.7
6303600;4.5
6307200;4.1
6310800;3.7
6314400;3.4
6318000;4.5
6321600;4.9
6325200;5.1
6328800;5.2
6332400;5.3
6336000;5.5
6339600;6.3
6343200;7.1
6346800;7.4
6350400;7.1
6354000;6.6
6357600;6.8
6361200;6.8
6364800;6.5
6368400;6.1
6372000;5.4
6375600;5
6379200;4.9
6382800;4.9
6386400;4.7
6390000;4.4
